movieCd,movieNm,audiAcc
20183785,점박이 한반도의 공룡2 : 새로운 낙원,521053
20184187,언니,172338
20182421,그린치,543813
20168773,마약왕,1787825
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,259753
20183238,스파이더맨: 뉴 유니버스,628327
20177552,국가부도의 날,3723913
20179230,도어락,1546002
20183375,극장판 포켓몬스터 모두의 이야기,86997
20189843,호두까기 인형과 4개의 왕국,408425
20182082,부탁 하나만 들어줘,87501
20178825,모털 엔진,262070
20183745,런닝맨 : 풀룰루의 역습,180709
20177538,완벽한 타인,5270621
20184481,성난황소,1567264
20181905,후드,276658
20176814,신비한 동물들과 그린델왈드의 범죄,2403686
20183073,베일리 어게인,78439
20181171,바울,229837
20183007,거미줄에 걸린 소녀,25172
20182966,투 프렌즈,20419
20183050,번 더 스테이지: 더 무비,298402
20182935,출국,71407
20182669,툴리,24325
20186822,너의 췌장을 먹고 싶어,48910
20170513,동네사람들,445625
20189869,해피 투게더,15745
20174981,창궐,1588443
20010291,해리포터와 마법사의 돌,259733
20179006,여곡성,55997
20181404,벽 속에 숨은 마법시계,211233
20180523,스타 이즈 본,458917
20182693,구스범스: 몬스터의 역습,21400
20180987,할로윈,90492
20179189,암수살인,3777611
20189067,미쓰백,710780
20182403,크레이지 리치 아시안,147806
20186321,퍼스트맨,630470
20177221,베놈,3851409
20189123,곰돌이 푸 다시 만나 행복해,486038
20176122,안시성,5413370
20184678,배반의 장미,29890
20187521,펭귄 하이웨이,25631
20180628,액슬,12152
20180770,다이노 어드벤처2: 육해공 공룡 대백과,34822
20189462,셜록 놈즈,83846
20177308,협상,1953273
20188661,에브리데이,21620
20172204,명당,2066465
20167903,원더풀 고스트,439910
20189262,더 넌,1007366
20185046,서치,2944333
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,151054
20189268,루이스,89501
20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,42980
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,35688
20156554,물괴,702096
20153446,너의 결혼식,2812226
20188581,더 프레데터,169814
20189362,업그레이드,178153
20177537,상류사회,760945
20181942,맘마미아!2,2280120
20186202,신과함께-인과 연,12264813
20179101,공작,4968325
20170670,목격자,2512159
20189261,어드리프트:우리가 함께한 바다,41977
20187647,나를 차버린 스파이,258016
20181181,미션 임파서블: 폴아웃,6567099
20139221,그래비티,3262924
20184802,몬스터 호텔 3,1023630
20183584,메가로돈,515536
20187657,마일22,51350
20187641,극장판 도라에몽: 진구의 보물섬,138640
20187427,명탐정 코난 : 제로의 집행인,377257
20186501,극장판 헬로카봇 : 백악기 시대,854230
20183361,인크레더블 2,2998015
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,667879
20186121,어느 가족,123887
20170942,인랑,891308
20180522,앤트맨과 와스프,5444801
20185341,마녀,3188405
